,Property Address,Property City,Sale Price,Latitude,Longitude,Restaurants,Supermarkets,Liquor Store,Schools,Churches,Convenience_Store,Drugstore,Fire_Station,Hospital,Bar
0,1100  CHEYENNE  CIR,MADISON,$304.0k,36.2524142,-86.670697,,,,,,20,8,2,2,20
1,3450  GREER  RD,GOODLETTSVILLE,$405.0k,36.3835361,-86.7832459,,,,,,5,2,0,0,0
2,8565  WHITES CREEK  PIKE,JOELTON,$666.5k,36.3811685,-86.8945705,,,,,,2,0,0,0,0
3,8560  COOPERTOWN  RD,JOELTON,$620.0k,36.38081,-86.9061216,,,,,,5,0,0,0,0
4,8409  RILEY ADCOCK  RD,JOELTON,$227.5k,36.372914,-86.883644,,,,,,1,0,0,1,0
5,7840  WHITES CREEK  PIKE,JOELTON,$575.0k,36.3553598,-86.8780549,,,,,,6,1,1,1,1
6,3560  BAXTER  RD,JOELTON,$805.0k,36.3527869,-86.8850078,,,,,,9,1,1,1,1
7,7564  BIDWELL  RD,JOELTON,$313.5k,36.3436573,-86.8932319,,,,,,9,1,1,1,1
8,208 A SWIFT  DR,GOODLETTSVILLE,$333.0k,36.3354895,-86.7203211,,,,,,20,8,4,5,13
9,109  SWIFT  DR,GOODLETTSVILLE,$350.0k,36.3345218,-86.7194276,,,,,,20,9,4,5,13
10,2189  UNION HILL  RD,GOODLETTSVILLE,$128.0k,36.3324885,-86.8156884,,,,,,5,1,0,0,0
11,1414  UNION HILL  RD,GOODLETTSVILLE,$65.0k,36.332397,-86.772744,,,,,,1,0,0,0,0
12,104  DORR  DR,GOODLETTSVILLE,$442.5k,36.3323843,-86.7215568,,,,,,20,9,4,5,14
13,7253  BIDWELL  RD,JOELTON,$435.0k,36.3297118,-86.8870824,,,,,,9,1,1,1,1
14,956   FANCHER  LN,JOELTON,$424.2k,36.3291288,-86.8738712,,,,,,5,1,1,1,1
15,972   FANCHER  LN,JOELTON,$244.1k,36.3291288,-86.8738712,,,,,,5,1,1,1,1
16,813   TWIN FALLS  DR,JOELTON,$244.1k,36.328067,-86.871925,,,,,,5,1,1,1,1
17,817   TWIN FALLS  DR,JOELTON,$244.1k,36.328059,-86.872174,,,,,,5,1,1,1,1
18,0  BRICK CHURCH  PIKE,GOODLETTSVILLE,$2400.0k,36.3266604,-86.7227187,,,,,,20,9,4,6,14
19,305  MONCRIEF  AVE,GOODLETTSVILLE,$347.0k,36.3241041,-86.7179996,,,,,,20,9,4,6,14
