PID,Property Address,Property City,House Type,Sale Price(USD),Sale Date,Latitude,Longitude,Zone,Restaurants,Supermarkets,Liquor_Stores,Schools,Churches,Convenience_Store,Drug store,Fire_Station,Hospital,Bars
1,1100  CHEYENNE  CIR,MADISON,SINGLE FAMILY,304000,9/7/2021,36.2524142,-86.670697,6,20,7,8,20,20,20,8,2,2,20
2,3450  GREER  RD,GOODLETTSVILLE,SINGLE FAMILY,405000,9/17/2021,36.3835361,-86.7832459,5,16,0,2,9,11,5,2,0,0,0
3,8565  WHITES CREEK  PIKE,JOELTON,SINGLE FAMILY,666500,9/22/2021,36.3811685,-86.8945705,5,1,0,1,1,10,2,0,0,0,0
4,8560  COOPERTOWN  RD,JOELTON,SINGLE FAMILY,620000,9/20/2021,36.38081,-86.9061216,5,3,0,2,1,10,5,0,0,0,0
5,8409  RILEY ADCOCK  RD,JOELTON,SINGLE FAMILY,227500,9/17/2021,36.372914,-86.883644,5,1,0,0,1,5,1,0,0,1,0
6,7840  WHITES CREEK  PIKE,JOELTON,SINGLE FAMILY,575000,9/16/2021,36.3553598,-86.8780549,5,10,0,0,3,9,6,1,1,1,1
7,3560  BAXTER  RD,JOELTON,SINGLE FAMILY,805000,9/21/2021,36.3527869,-86.8850078,5,12,0,1,3,12,9,1,1,1,1
8,7564  BIDWELL  RD,JOELTON,SINGLE FAMILY,313500,9/3/2021,36.3436573,-86.8932319,5,13,0,1,2,13,9,1,1,1,1
9,208 A SWIFT  DR,GOODLETTSVILLE,SINGLE FAMILY,333000,9/15/2021,36.3354895,-86.7203211,5,20,1,6,18,20,20,8,4,5,13
10,109  SWIFT  DR,GOODLETTSVILLE,SINGLE FAMILY,350000,9/2/2021,36.3345218,-86.7194276,5,20,1,6,18,20,20,9,4,5,13
11,2189  UNION HILL  RD,GOODLETTSVILLE,SINGLE FAMILY,128000,9/20/2021,36.3324885,-86.8156884,5,9,0,0,3,5,5,1,0,0,0
12,104  DORR  DR,GOODLETTSVILLE,SINGLE FAMILY,442500,9/23/2021,36.3323843,-86.7215568,5,20,1,6,19,20,20,9,4,5,14
13,7253  BIDWELL  RD,JOELTON,SINGLE FAMILY,435000,9/3/2021,36.3297118,-86.8870824,5,12,0,1,3,13,9,1,1,1,1
14,956   FANCHER  LN,JOELTON,SINGLE FAMILY,424200,9/7/2021,36.3291288,-86.8738712,5,10,0,0,5,12,5,1,1,1,1
15,972   FANCHER  LN,JOELTON,SINGLE FAMILY,244100,9/2/2021,36.3291288,-86.8738712,5,10,0,0,5,12,5,1,1,1,1
16,813   TWIN FALLS  DR,JOELTON,SINGLE FAMILY,244100,9/2/2021,36.328067,-86.871925,5,10,0,0,5,10,5,1,1,1,1
17,817   TWIN FALLS  DR,JOELTON,SINGLE FAMILY,244100,9/2/2021,36.328059,-86.872174,5,10,0,0,5,10,5,1,1,1,1
18,305  MONCRIEF  AVE,GOODLETTSVILLE,SINGLE FAMILY,347000,9/2/2021,36.3241041,-86.7179996,5,20,1,6,20,20,20,9,4,6,14
19,6360  EATONS CREEK  RD,JOELTON,SINGLE FAMILY,319900,9/13/2021,36.3206868,-86.873669,4,14,1,0,4,10,10,2,1,1,2
20,636   EXMOOR  DR,GOODLETTSVILLE,SINGLE FAMILY,311500,9/13/2021,36.318942,-86.720421,5,20,1,6,20,20,20,9,4,6,14
21,632   EXMOOR  DR,GOODLETTSVILLE,SINGLE FAMILY,275100,9/10/2021,36.3188665,-86.7204124,5,20,1,6,20,20,20,9,4,6,14
22,628   EXMOOR  DR,GOODLETTSVILLE,SINGLE FAMILY,277000,9/8/2021,36.3187911,-86.7204111,5,20,1,6,20,20,20,9,4,6,14
23,624   EXMOOR  DR,GOODLETTSVILLE,SINGLE FAMILY,273000,9/3/2021,36.3187345,-86.7204124,5,20,1,6,20,20,20,9,4,6,14
24,620   EXMOOR  DR,GOODLETTSVILLE,SINGLE FAMILY,306700,9/3/2021,36.318678,-86.720416,5,20,1,6,20,20,20,9,4,6,14
25,616   EXMOOR  DR,GOODLETTSVILLE,SINGLE FAMILY,317800,9/3/2021,36.318598,-86.720424,5,20,1,6,20,20,20,9,4,6,14
26,428  S DOWNS  CIR,GOODLETTSVILLE,SINGLE FAMILY,324700,9/3/2021,36.3182696,-86.718056,5,20,1,6,20,20,20,9,4,6,14
27,227  S DOWNS  CIR,GOODLETTSVILLE,SINGLE FAMILY,359000,9/8/2021,36.3178235,-86.7183988,5,20,1,6,20,20,20,9,4,6,14
28,124  CANTON  CT,GOODLETTSVILLE,RESIDENTIAL CONDO,301200,9/14/2021,36.3177733,-86.6942226,6,20,1,7,20,20,20,10,6,7,18
29,128  BUCKINGHAM  CT,GOODLETTSVILLE,SINGLE FAMILY,350000,9/3/2021,36.3166753,-86.6923644,6,20,2,7,20,20,20,10,6,7,19
30,200  ROSEHILL  DR,GOODLETTSVILLE,SINGLE FAMILY,400000,9/28/2021,36.3155555,-86.7178031,5,20,1,6,20,20,20,9,4,6,16
31,120  HABERSHAM  CT,GOODLETTSVILLE,ZERO LOT LINE,210000,9/13/2021,36.3149349,-86.6932752,6,20,2,8,20,20,20,10,6,7,19
32,409  ROSEHILL  DR,GOODLETTSVILLE,SINGLE FAMILY,405000,9/8/2021,36.3145991,-86.7277565,5,20,1,5,20,20,20,9,4,6,15
33,107  AINTREE  CT,GOODLETTSVILLE,SINGLE FAMILY,330000,9/8/2021,36.3141831,-86.6901817,6,20,5,9,20,20,20,9,5,7,20
34,111  DORCHESTER  CT,GOODLETTSVILLE,SINGLE FAMILY,330000,9/10/2021,36.3138061,-86.6942355,6,20,2,8,20,20,20,9,6,7,20
35,113  BROCKHAMPTON  CT,GOODLETTSVILLE,SINGLE FAMILY,323000,9/7/2021,36.3132657,-86.6944881,6,20,2,8,20,20,20,9,6,7,20
36,6125  CLARKSVILLE  PIKE,JOELTON,SINGLE FAMILY,380000,9/1/2021,36.3126127,-86.8834002,4,14,1,0,3,11,10,2,1,1,2
37,525  DONALD  AVE,GOODLETTSVILLE,SINGLE FAMILY,265000,9/17/2021,36.3107055,-86.7121425,5,20,2,7,20,20,20,10,4,6,17
38,2424  MANSKER  DR,MADISON,SINGLE FAMILY,260000,9/27/2021,36.3046742,-86.6728932,6,20,8,9,20,20,20,10,5,10,20
39,935  OLD DICKERSON  PIKE,GOODLETTSVILLE,DUPLEX,356500,9/16/2021,36.3012242,-86.7304978,5,20,5,10,20,20,20,13,5,7,18
40,127  DRAPER  DR,GOODLETTSVILLE,SINGLE FAMILY,450000,9/13/2021,36.300904,-86.7156804,5,20,5,10,20,20,20,12,5,6,19
41,286   COBBLESTONE PLACE  DR,GOODLETTSVILLE,RESIDENTIAL CONDO,228500,9/8/2021,36.3005202,-86.7090072,6,20,5,11,20,20,20,12,5,6,19
42,163   COBBLESTONE PLACE  DR,GOODLETTSVILLE,RESIDENTIAL CONDO,250000,9/21/2021,36.3004627,-86.7075434,6,20,5,11,20,20,20,12,5,6,20
43,136   COBBLESTONE PLACE  DR,GOODLETTSVILLE,RESIDENTIAL CONDO,254100,9/17/2021,36.2998318,-86.7081036,6,20,5,11,20,20,20,13,5,6,20
44,1900  SPRING BRANCH  DR,MADISON,SINGLE FAMILY,380000,9/2/2021,36.2945696,-86.6929937,6,20,5,11,20,20,20,13,7,8,20
45,6123  MARROWBONE LAKE  RD,JOELTON,SINGLE FAMILY,214500,9/8/2021,36.2945412,-86.9208362,4,5,1,0,1,10,5,1,1,1,2
46,369  SOLITUDE  CIR,GOODLETTSVILLE,SINGLE FAMILY,368000,9/20/2021,36.2944384,-86.7376494,5,20,4,8,20,20,20,14,5,6,19
47,4948  INDIAN SUMMER  DR,NASHVILLE,SINGLE FAMILY,341000,9/3/2021,36.2900843,-86.7863862,5,12,0,2,11,20,10,2,1,1,0
48,4924  INDIAN SUMMER  DR,NASHVILLE,SINGLE FAMILY,395000,9/14/2021,36.289632,-86.784822,5,12,0,2,11,20,11,3,1,1,0
49,4605  SETTER  CT,NASHVILLE,SINGLE FAMILY,471200,9/14/2021,36.2881416,-86.7833636,5,12,0,2,11,20,11,3,1,1,0
50,4368  SUMMERTIME  DR,NASHVILLE,SINGLE FAMILY,290000,9/17/2021,36.2840477,-86.7898502,5,12,0,2,11,20,10,2,1,1,0
51,1605  AUTUMN RIDGE  DR,NASHVILLE,SINGLE FAMILY,349900,9/10/2021,36.283515,-86.7875638,5,12,0,2,12,20,10,3,1,1,0
52,1315  HUNTERS  LN,NASHVILLE,SINGLE FAMILY,390000,9/1/2021,36.2830927,-86.7566036,5,20,5,4,20,20,20,10,2,11,6
53,1023  WOODS LAKE  DR,MADISON,SINGLE FAMILY,255000,9/17/2021,36.2827848,-86.7230757,6,20,7,7,20,20,20,16,5,12,20
54,1349  APPLE VALLEY  RD,MADISON,SINGLE FAMILY,283000,9/10/2021,36.2827433,-86.7096157,6,20,7,9,20,20,20,15,5,8,20
55,4209  WINTERBROOK  RD,NASHVILLE,SINGLE FAMILY,190000,9/20/2021,36.2823927,-86.7867395,5,12,0,2,13,20,10,3,1,1,0
56,813  REDFERN  CT,MADISON,SINGLE FAMILY,144000,9/24/2021,36.2756496,-86.7065991,6,20,7,6,20,20,20,14,3,6,20
57,541   SARVER  AVE,MADISON,SINGLE FAMILY,343000,9/2/2021,36.2746388,-86.7024684,6,20,7,7,20,20,20,13,3,6,20
58,532   SARVER  AVE,MADISON,SINGLE FAMILY,345900,9/21/2021,36.2746388,-86.7024684,6,20,7,7,20,20,20,13,3,6,20
59,505  AMQUIWOOD  CT,MADISON,SINGLE FAMILY,295000,9/2/2021,36.2740471,-86.71684,6,20,7,6,20,20,20,14,3,12,20
60,1416  SIXPENCE  PL,MADISON,SINGLE FAMILY,337500,9/7/2021,36.2727859,-86.717921,6,20,7,6,20,20,20,14,2,13,20
61,304   ENSLEY  AVE,OLD HICKORY,RESIDENTIAL CONDO,282000,9/1/2021,36.2717422,-86.6645942,7,20,7,10,20,20,20,10,4,5,20
62,319  SCALF  DR,MADISON,SINGLE FAMILY,236900,9/20/2021,36.2711412,-86.6925043,6,20,7,6,20,20,20,12,2,5,20
63,329  ARCHWOOD  DR,MADISON,SINGLE FAMILY,239000,9/17/2021,36.2705484,-86.6877077,6,20,7,7,20,20,20,12,1,4,20
64,505  COLONY TRACE  CT,MADISON,RESIDENTIAL CONDO,192000,9/23/2021,36.26979,-86.721991,6,20,7,6,20,20,20,14,2,13,19
65,257  MAYFLOWER  LN N,MADISON,RESIDENTIAL CONDO,224000,9/20/2021,36.2697386,-86.7234057,6,20,7,6,20,20,20,14,2,13,19
66,1018  HERITAGE  DR,MADISON,RESIDENTIAL CONDO,175000,9/16/2021,36.2692259,-86.723501,6,20,7,6,20,20,20,13,2,13,19
67,118  RAYON  DR,OLD HICKORY,SINGLE FAMILY,260000,9/27/2021,36.2691766,-86.6642288,7,20,7,9,20,20,20,11,4,5,20
68,208  RAYON  DR,OLD HICKORY,DUPLEX,289900,9/29/2021,36.2691266,-86.6653729,7,20,8,9,20,20,20,11,3,5,20
69,1038  HERITAGE  DR,MADISON,RESIDENTIAL CONDO,190000,9/22/2021,36.268459,-86.72242,6,20,7,6,20,20,20,13,3,13,19
