PID,Property Address,Property City,House Type,Sale Price(USD),Sale Date,Latitude,Longitude,Zone,,
1,1100  CHEYENNE  CIR,MADISON,SINGLE FAMILY,304000,9/7/2021,36.2524142,-86.670697,6,,
2,3450  GREER  RD,GOODLETTSVILLE,SINGLE FAMILY,405000,9/17/2021,36.3835361,-86.7832459,5,,
3,8565  WHITES CREEK  PIKE,JOELTON,SINGLE FAMILY,666500,9/22/2021,36.3811685,-86.8945705,5,,
4,8560  COOPERTOWN  RD,JOELTON,SINGLE FAMILY,620000,9/20/2021,36.38081,-86.9061216,5,,
5,8409  RILEY ADCOCK  RD,JOELTON,SINGLE FAMILY,227500,9/17/2021,36.372914,-86.883644,5,,
6,7840  WHITES CREEK  PIKE,JOELTON,SINGLE FAMILY,575000,9/16/2021,36.3553598,-86.8780549,5,,
7,3560  BAXTER  RD,JOELTON,SINGLE FAMILY,805000,9/21/2021,36.3527869,-86.8850078,5,,
8,7564  BIDWELL  RD,JOELTON,SINGLE FAMILY,313500,9/3/2021,36.3436573,-86.8932319,5,,
9,208 A SWIFT  DR,GOODLETTSVILLE,SINGLE FAMILY,333000,9/15/2021,36.3354895,-86.7203211,5,,
10,109  SWIFT  DR,GOODLETTSVILLE,SINGLE FAMILY,350000,9/2/2021,36.3345218,-86.7194276,5,,
11,2189  UNION HILL  RD,GOODLETTSVILLE,SINGLE FAMILY,128000,9/20/2021,36.3324885,-86.8156884,5,,
12,1414  UNION HILL  RD,GOODLETTSVILLE,VACANT RURAL LAND,65000,9/13/2021,36.332397,-86.772744,5,,
13,104  DORR  DR,GOODLETTSVILLE,SINGLE FAMILY,442500,9/23/2021,36.3323843,-86.7215568,5,,
14,7253  BIDWELL  RD,JOELTON,SINGLE FAMILY,435000,9/3/2021,36.3297118,-86.8870824,5,,
15,956   FANCHER  LN,JOELTON,SINGLE FAMILY,424200,9/7/2021,36.3291288,-86.8738712,5,,
16,972   FANCHER  LN,JOELTON,SINGLE FAMILY,244100,9/2/2021,36.3291288,-86.8738712,5,,
17,813   TWIN FALLS  DR,JOELTON,SINGLE FAMILY,244100,9/2/2021,36.328067,-86.871925,5,,
18,817   TWIN FALLS  DR,JOELTON,SINGLE FAMILY,244100,9/2/2021,36.328059,-86.872174,5,,
19,0  BRICK CHURCH  PIKE,GOODLETTSVILLE,RURAL COMBO,2400000,9/16/2021,36.3266604,-86.7227187,5,,
20,305  MONCRIEF  AVE,GOODLETTSVILLE,SINGLE FAMILY,347000,9/2/2021,36.3241041,-86.7179996,5,,
21,6360  EATONS CREEK  RD,JOELTON,SINGLE FAMILY,319900,9/13/2021,36.3206868,-86.873669,4,,
22,636   EXMOOR  DR,GOODLETTSVILLE,SINGLE FAMILY,311500,9/13/2021,36.318942,-86.720421,5,,
23,632   EXMOOR  DR,GOODLETTSVILLE,SINGLE FAMILY,275100,9/10/2021,36.3188665,-86.7204124,5,,
24,628   EXMOOR  DR,GOODLETTSVILLE,SINGLE FAMILY,277000,9/8/2021,36.3187911,-86.7204111,5,,
25,624   EXMOOR  DR,GOODLETTSVILLE,SINGLE FAMILY,273000,9/3/2021,36.3187345,-86.7204124,5,,
26,620   EXMOOR  DR,GOODLETTSVILLE,SINGLE FAMILY,306700,9/3/2021,36.318678,-86.720416,5,,
27,616   EXMOOR  DR,GOODLETTSVILLE,SINGLE FAMILY,317800,9/3/2021,36.318598,-86.720424,5,,
28,428  S DOWNS  CIR,GOODLETTSVILLE,SINGLE FAMILY,324700,9/3/2021,36.3182696,-86.718056,5,,
29,227  S DOWNS  CIR,GOODLETTSVILLE,SINGLE FAMILY,359000,9/8/2021,36.3178235,-86.7183988,5,,
30,124  CANTON  CT,GOODLETTSVILLE,RESIDENTIAL CONDO,301200,9/14/2021,36.3177733,-86.6942226,6,,
31,128  BUCKINGHAM  CT,GOODLETTSVILLE,SINGLE FAMILY,350000,9/3/2021,36.3166753,-86.6923644,6,,
32,200  ROSEHILL  DR,GOODLETTSVILLE,SINGLE FAMILY,400000,9/28/2021,36.3155555,-86.7178031,5,,
33,120  HABERSHAM  CT,GOODLETTSVILLE,ZERO LOT LINE,210000,9/13/2021,36.3149349,-86.6932752,6,,
34,409  ROSEHILL  DR,GOODLETTSVILLE,SINGLE FAMILY,405000,9/8/2021,36.3145991,-86.7277565,5,,
35,107  AINTREE  CT,GOODLETTSVILLE,SINGLE FAMILY,330000,9/8/2021,36.3141831,-86.6901817,6,,
36,111  DORCHESTER  CT,GOODLETTSVILLE,SINGLE FAMILY,330000,9/10/2021,36.3138061,-86.6942355,6,,
37,113  BROCKHAMPTON  CT,GOODLETTSVILLE,SINGLE FAMILY,323000,9/7/2021,36.3132657,-86.6944881,6,,
38,6125  CLARKSVILLE  PIKE,JOELTON,SINGLE FAMILY,380000,9/1/2021,36.3126127,-86.8834002,4,,
39,525  DONALD  AVE,GOODLETTSVILLE,SINGLE FAMILY,265000,9/17/2021,36.3107055,-86.7121425,5,,
40,4741  BRICK CHURCH  PIKE,GOODLETTSVILLE,SINGLE FAMILY,2400000,9/16/2021,36.3083311,-86.7829122,5,,
41,4733  BRICK CHURCH  PIKE,GOODLETTSVILLE,VACANT RURAL LAND,2400000,9/16/2021,36.307765,-86.7838809,5,,
42,4729  BRICK CHURCH  PIKE,GOODLETTSVILLE,RURAL COMBO,2400000,9/16/2021,36.3075272,-86.7844824,5,,
43,4725  BRICK CHURCH  PIKE,GOODLETTSVILLE,RURAL COMBO,2400000,9/16/2021,36.3075223,-86.7850908,5,,
44,1284  HITT  LN,GOODLETTSVILLE,SINGLE FAMILY,3650000,9/23/2021,36.305723,-86.729004,5,,
45,4671   BRICK CHURCH  PIKE,GOODLETTSVILLE,VACANT RURAL LAND,2400000,9/16/2021,36.3051944,-86.7841771,5,,
46,2424  MANSKER  DR,MADISON,SINGLE FAMILY,260000,9/27/2021,36.3046742,-86.6728932,6,,
47,935  OLD DICKERSON  PIKE,GOODLETTSVILLE,DUPLEX,356500,9/16/2021,36.3012242,-86.7304978,5,,
48,127  DRAPER  DR,GOODLETTSVILLE,SINGLE FAMILY,450000,9/13/2021,36.300904,-86.7156804,5,,
49,286   COBBLESTONE PLACE  DR,GOODLETTSVILLE,RESIDENTIAL CONDO,228500,9/8/2021,36.3005202,-86.7090072,6,,
50,163   COBBLESTONE PLACE  DR,GOODLETTSVILLE,RESIDENTIAL CONDO,250000,9/21/2021,36.3004627,-86.7075434,6,,
51,136   COBBLESTONE PLACE  DR,GOODLETTSVILLE,RESIDENTIAL CONDO,254100,9/17/2021,36.2998318,-86.7081036,6,,
52,1900  SPRING BRANCH  DR,MADISON,SINGLE FAMILY,380000,9/2/2021,36.2945696,-86.6929937,6,,
53,6123  MARROWBONE LAKE  RD,JOELTON,SINGLE FAMILY,214500,9/8/2021,36.2945412,-86.9208362,4,,
54,369  SOLITUDE  CIR,GOODLETTSVILLE,SINGLE FAMILY,368000,9/20/2021,36.2944384,-86.7376494,5,,
55,4948  INDIAN SUMMER  DR,NASHVILLE,SINGLE FAMILY,341000,9/3/2021,36.2900843,-86.7863862,5,,
56,4924  INDIAN SUMMER  DR,NASHVILLE,SINGLE FAMILY,395000,9/14/2021,36.289632,-86.784822,5,,
57,4605  SETTER  CT,NASHVILLE,SINGLE FAMILY,471200,9/14/2021,36.2881416,-86.7833636,5,,
58,4368  SUMMERTIME  DR,NASHVILLE,SINGLE FAMILY,290000,9/17/2021,36.2840477,-86.7898502,5,,
59,1605  AUTUMN RIDGE  DR,NASHVILLE,SINGLE FAMILY,349900,9/10/2021,36.283515,-86.7875638,5,,
60,1315  HUNTERS  LN,NASHVILLE,SINGLE FAMILY,390000,9/1/2021,36.2830927,-86.7566036,5,,
61,1023  WOODS LAKE  DR,MADISON,SINGLE FAMILY,255000,9/17/2021,36.2827848,-86.7230757,6,,
62,1349  APPLE VALLEY  RD,MADISON,SINGLE FAMILY,283000,9/10/2021,36.2827433,-86.7096157,6,,
63,4209  WINTERBROOK  RD,NASHVILLE,SINGLE FAMILY,190000,9/20/2021,36.2823927,-86.7867395,5,,
64,1102   PALMER  AVE,MADISON,VACANT RESIDENTIAL LAND,85000,9/23/2021,36.2800399,-86.7037688,6,,
65,813  REDFERN  CT,MADISON,SINGLE FAMILY,144000,9/24/2021,36.2756496,-86.7065991,6,,
66,541   SARVER  AVE,MADISON,SINGLE FAMILY,343000,9/2/2021,36.2746388,-86.7024684,6,,
67,532   SARVER  AVE,MADISON,SINGLE FAMILY,345900,9/21/2021,36.2746388,-86.7024684,6,,
68,505  AMQUIWOOD  CT,MADISON,SINGLE FAMILY,295000,9/2/2021,36.2740471,-86.71684,6,,
69,1416  SIXPENCE  PL,MADISON,SINGLE FAMILY,337500,9/7/2021,36.2727859,-86.717921,6,,
70,304   ENSLEY  AVE,OLD HICKORY,RESIDENTIAL CONDO,282000,9/1/2021,36.2717422,-86.6645942,7,,
71,319  SCALF  DR,MADISON,SINGLE FAMILY,236900,9/20/2021,36.2711412,-86.6925043,6,,
72,329  ARCHWOOD  DR,MADISON,SINGLE FAMILY,229900,9/17/2021,36.2705484,-86.6877077,6,,
73,329  ARCHWOOD  DR,MADISON,SINGLE FAMILY,239000,9/17/2021,36.2705484,-86.6877077,6,,
74,505  COLONY TRACE  CT,MADISON,RESIDENTIAL CONDO,192000,9/23/2021,36.26979,-86.721991,6,,
75,257  MAYFLOWER  LN N,MADISON,RESIDENTIAL CONDO,224000,9/20/2021,36.2697386,-86.7234057,6,,
76,1018  HERITAGE  DR,MADISON,RESIDENTIAL CONDO,175000,9/16/2021,36.2692259,-86.723501,6,,
77,118  RAYON  DR,OLD HICKORY,SINGLE FAMILY,260000,9/27/2021,36.2691766,-86.6642288,7,,
78,208  RAYON  DR,OLD HICKORY,DUPLEX,289900,9/29/2021,36.2691266,-86.6653729,7,,
79,1038  HERITAGE  DR,MADISON,RESIDENTIAL CONDO,190000,9/22/2021,36.268459,-86.72242,6,,
80,4009  OXBOW  DR,NASHVILLE,SINGLE FAMILY,305000,9/16/2021,36.2684163,-86.7627112,5,,
81,253  LOVELL  ST,MADISON,SINGLE FAMILY,205000,9/10/2021,36.2682523,-86.7069137,6,,
82,112  DUPONT  AVE,MADISON,SINGLE FAMILY,275000,9/17/2021,36.2664895,-86.709764,6,,
83,119  LARCHMONT  DR,MADISON,SINGLE FAMILY,282000,9/13/2021,36.2654702,-86.6888641,6,,
84,314  MCKENZIE  PASS,MADISON,RESIDENTIAL CONDO,238000,9/27/2021,36.2651147,-86.6932395,6,,
85,2336   PATRICK  AVE,OLD HICKORY,RESIDENTIAL CONDO,264000,9/14/2021,36.2651036,-86.6619251,7,,
86,2338   PATRICK  AVE,OLD HICKORY,RESIDENTIAL CONDO,239600,9/16/2021,36.2648925,-86.662045,7,,
87,2340   PATRICK  AVE,OLD HICKORY,RESIDENTIAL CONDO,236800,9/17/2021,36.2648657,-86.6620147,7,,
88,2344   PATRICK  AVE,OLD HICKORY,RESIDENTIAL CONDO,239600,9/10/2021,36.2647887,-86.6619383,7,,
89,2346   PATRICK  AVE,OLD HICKORY,RESIDENTIAL CONDO,264300,9/10/2021,36.2647555,-86.6619051,7,,
